parlamentarier_name	parlamentarier_id	parlamentarier_rat	parlamentarier_kanton	parlamentarier_partei	parlamentarier_fraktion	parlamentarier_kommissionen	parlamentarier_im_rat_seit	parlamentarier_im_rat_bis	parlamentarier_geschlecht	parlamentarier_geburtstag	parlamentarier_parlament_biografie_id	parlamentarier_parlament_number	parlamentarier_sprache	parlamentarier_arbeitssprache	interessenbindung_beschreibung	interessenbindung_von	interessenbindung_bis	interessenbindung_art	interessenbindung_funktion_im_gremium	interessenbindung_deklarationstyp	interessenbindung_status	interessenbindung_hauptberuflich	interessenbindung_behoerden_vertreter	interessenbindung_wirksamkeit	organisation_id	verguetung	verguetung_jahr	verguetung_beschreibung	organisation_name	organisation_ort	organisation_rechtsform	organisation_typ	organisation_vernehmlassung	organisation_interessengruppe1	organisation_interessengruppe1_branche	organisation_interessengruppe1_branche_kommission_abkuerzung
"Addor, Jean-Luc"	261	"NR"	"VS"	"SVP"	"V"	"SiK-NR, SPK-NR"	2015-11-30		"M"	1964-04-22	4154	3055	"fr"	"fr"				"mitglied"		"nicht deklarationspflicht"	"nicht-deklariert"	"0"	"N"	"tief"	2652	-1	2021	"Bezahlendes Mitglied"	"Walliser Anwaltsverband"	"Sion"	"Verein"	"MitgliedsOrganisation,LeistungsErbringer"	"nie"	"Advokaturen/Treuhand"	"Wirtschaft"	"WAK"
"Addor, Jean-Luc"	261	"NR"	"VS"	"SVP"	"V"	"SiK-NR, SPK-NR"	2015-11-30		"M"	1964-04-22	4154	3055	"fr"	"fr"				"mitglied"		"nicht deklarationspflicht"	"nicht-deklariert"	"0"	"N"	"tief"	2653	-1	2021	"Bezahlendes Mitglied"	"Union des indépendants (UDI)"	"Sion"	"Verein"	"MitgliedsOrganisation"	"nie"	"KMU/Gewerbe/Arbeitgeber"	"Wirtschaft"	"WAK"
"Addor, Jean-Luc"	261	"NR"	"VS"	"SVP"	"V"	"SiK-NR, SPK-NR"	2015-11-30		"M"	1964-04-22	4154	3055	"fr"	"fr"				"vorstand"	"mitglied"	"deklarationspflichtig"	"deklariert"	"0"	"N"	"tief"	2658	"0"	2021	"Ehrenamtlich"	"AUNS Wallis"		"Verein"	"MitgliedsOrganisation,dezidierteLobby"	"nie"	"EU-Gegner"	"Aussenpolitik/Aussenwirtschaft"	"APK"
"Addor, Jean-Luc"	261	"NR"	"VS"	"SVP"	"V"	"SiK-NR, SPK-NR"	2015-11-30		"M"	1964-04-22	4154	3055	"fr"	"fr"	"Präsident a.i. / Président a.i."			"vorstand"	"praesident"	"deklarationspflichtig"	"deklariert"	"0"	"N"	"hoch"	2659	1	2021		"proTell Gesellschaft für ein freiheitliches Waffenrecht"	"Bern"	"Verein"	"EinzelOrganisation,MitgliedsOrganisation,dezidierteLobby"	"punktuell"	"Militär"	"Sicherheit"	"SiK"
"Addor, Jean-Luc"	261	"NR"	"VS"	"SVP"	"V"	"SiK-NR, SPK-NR"	2015-11-30		"M"	1964-04-22	4154	3055	"fr"	"fr"				"mitglied"		"nicht deklarationspflicht"	"nicht-deklariert"	"0"	"N"	"tief"	2660	-1	2021	"Bezahlendes Mitglied"	"Association des Amis et des Anciens des Rives du Rhône"	"Salvan"	"Verein"	"EinzelOrganisation"	"nie"	"Gemeinwohl/Gesellschaft"	"Soziale Sicherheit"	"SGK"
"Addor, Jean-Luc"	261	"NR"	"VS"	"SVP"	"V"	"SiK-NR, SPK-NR"	2015-11-30		"M"	1964-04-22	4154	3055	"fr"	"fr"				"mitglied"		"nicht deklarationspflicht"	"nicht-deklariert"	"0"	"N"	"tief"	2661	-1	2021	"Bezahlendes Mitglied"	"Fédération Romande Faîtière des Associations de Personnes Concernées par les problèmes liés à la Drogue (F.R.A.P.C.D)"	"Martigny"	"Verein"	"DachOrganisation,dezidierteLobby"	"nie"	"Gesundheit"	"Gesundheit"	"SGK"
"Addor, Jean-Luc"	261	"NR"	"VS"	"SVP"	"V"	"SiK-NR, SPK-NR"	2015-11-30		"M"	1964-04-22	4154	3055	"fr"	"fr"				"mitglied"		"nicht deklarationspflicht"	"nicht-deklariert"	"0"	"N"	"tief"	2662	-1	2021	"Bezahlendes Mitglied"	"Schweizerische Bewegung gegen die Islamisierung"	"Orbe"	"Verein"	"EinzelOrganisation,dezidierteLobby"	"nie"	"Migration"	"Staatspolitik/Staatswirtschaft"	"SPK"
"Addor, Jean-Luc"	261	"NR"	"VS"	"SVP"	"V"	"SiK-NR, SPK-NR"	2015-11-30		"M"	1964-04-22	4154	3055	"fr"	"fr"				"mitglied"		"nicht deklarationspflicht"	"nicht-deklariert"	"0"	"N"	"tief"	2663	-1	2021	"Bezahlendes Mitglied"	"Association pour la Protection du Paysage du Coude du Rhône"	"Collonges"	"Verein"	"EinzelOrganisation,dezidierteLobby"	"nie"	"Umwelt & Natur"	"Umwelt"	"UREK"
"Addor, Jean-Luc"	261	"NR"	"VS"	"SVP"	"V"	"SiK-NR, SPK-NR"	2015-11-30		"M"	1964-04-22	4154	3055	"fr"	"fr"				"mitglied"		"nicht deklarationspflicht"	"nicht-deklariert"	"0"	"N"	"tief"	2664	-1	2021	"Bezahlendes Mitglied"	"Association stop aux abus de via sicura"	"Monthey 2"	"Verein"	"EinzelOrganisation,dezidierteLobby"	"nie"	"Individualverkehr"	"Verkehr"	"KVF"
"Addor, Jean-Luc"	261	"NR"	"VS"	"SVP"	"V"	"SiK-NR, SPK-NR"	2015-11-30		"M"	1964-04-22	4154	3055	"fr"	"fr"	"Mitglied"	2020-06-09		"mitglied"		"deklarationspflichtig"	"deklariert"	"0"	"N"	"tief"	2793				"Rock/Pop im Bundeshaus"	"St. Gallen"	"Parlamentarische Gruppe"	"EinzelOrganisation,dezidierteLobby"	"nie"	"Musik"	"Kultur"	"WBK"
"Addor, Jean-Luc"	261	"NR"	"VS"	"SVP"	"V"	"SiK-NR, SPK-NR"	2015-11-30		"M"	1964-04-22	4154	3055	"fr"	"fr"	"Mitglied"	2020-06-09		"mitglied"		"deklarationspflichtig"	"deklariert"	"0"	"N"	"tief"	2855				"Mehrsprachigkeit CH"	"Lenzburg"	"Parlamentarische Gruppe"	"EinzelOrganisation,dezidierteLobby"	"nie"	"Kulturförderung"	"Kultur"	"WBK"
"Addor, Jean-Luc"	261	"NR"	"VS"	"SVP"	"V"	"SiK-NR, SPK-NR"	2015-11-30		"M"	1964-04-22	4154	3055	"fr"	"fr"	"Mitglied"	2021-03-29		"mitglied"		"deklarationspflichtig"	"deklariert"	"0"	"N"	"tief"	2856				"Tierschutz"	"Basel"	"Parlamentarische Gruppe"	"EinzelOrganisation,dezidierteLobby"	"nie"	"Tierschutz"	"Umwelt"	"UREK"
"Addor, Jean-Luc"	261	"NR"	"VS"	"SVP"	"V"	"SiK-NR, SPK-NR"	2015-11-30		"M"	1964-04-22	4154	3055	"fr"	"fr"	"Mitglied"	2020-06-09		"mitglied"		"deklarationspflichtig"	"deklariert"	"0"	"N"	"tief"	2899				"Wohn- und Grundeigentum"	"Zürich"	"Parlamentarische Gruppe"	"EinzelOrganisation,dezidierteLobby"	"nie"	"Immobilien/Hauseigentümer"	"Wirtschaft"	"WAK"
"Addor, Jean-Luc"	261	"NR"	"VS"	"SVP"	"V"	"SiK-NR, SPK-NR"	2015-11-30		"M"	1964-04-22	4154	3055	"fr"	"fr"				"mitglied"		"nicht deklarationspflicht"	"nicht-deklariert"	"0"	"N"	"tief"	3298	-1	2021	"Bezahlendes Mitglied"	"Schweizerische Volkspartei Savièse"	"Savièse"	"Verein"	"EinzelOrganisation,MitgliedsOrganisation,LeistungsErbringer,dezidierteLobby"	"nie"	"Parteien"	"Staatspolitik/Staatswirtschaft"	"SPK"
"Addor, Jean-Luc"	261	"NR"	"VS"	"SVP"	"V"	"SiK-NR, SPK-NR"	2015-11-30		"M"	1964-04-22	4154	3055	"fr"	"fr"	"Conseil exécutif"			"vorstand"	"vizepraesident"	"deklarationspflichtig"	"deklariert"	"0"	"N"	"tief"	3299	-1	2021	"Bezahlendes Mitglied"	"Schweizerische Volkspartei Unterwallis"	"Fully"	"Verein"	"DachOrganisation,MitgliedsOrganisation,dezidierteLobby"	"nie"	"Parteien"	"Staatspolitik/Staatswirtschaft"	"SPK"
"Addor, Jean-Luc"	261	"NR"	"VS"	"SVP"	"V"	"SiK-NR, SPK-NR"	2015-11-30		"M"	1964-04-22	4154	3055	"fr"	"fr"	"Mitglied"	2020-06-09		"mitglied"		"deklarationspflichtig"	"deklariert"	"0"	"N"	"tief"	4976				"Ernährungssouveränität"	"Lausanne"	"Parlamentarische Gruppe"	"EinzelOrganisation,dezidierteLobby"	"nie"	"Landwirtschaft allgemein"	"Landwirtschaft"	"WAK"
"Addor, Jean-Luc"	261	"NR"	"VS"	"SVP"	"V"	"SiK-NR, SPK-NR"	2015-11-30		"M"	1964-04-22	4154	3055	"fr"	"fr"	"Mitglied"	2020-11-23		"mitglied"		"deklarationspflichtig"	"deklariert"	"0"	"N"	"tief"	5047				"Weinbau"	"Bern"	"Parlamentarische Gruppe"	"EinzelOrganisation"	"nie"	"Weinbau, Bier und Spirituosen"	"Landwirtschaft"	"WAK"
"Addor, Jean-Luc"	261	"NR"	"VS"	"SVP"	"V"	"SiK-NR, SPK-NR"	2015-11-30		"M"	1964-04-22	4154	3055	"fr"	"fr"	"Mitglied"	2020-06-09		"mitglied"		"deklarationspflichtig"	"deklariert"	"0"	"N"	"tief"	5189				"Altersfragen"	"Zürich"	"Parlamentarische Gruppe"	"EinzelOrganisation,dezidierteLobby"	"nie"	"Gemeinwohl/Gesellschaft"	"Soziale Sicherheit"	"SGK"
"Addor, Jean-Luc"	261	"NR"	"VS"	"SVP"	"V"	"SiK-NR, SPK-NR"	2015-11-30		"M"	1964-04-22	4154	3055	"fr"	"fr"	"Mitglied"	2020-06-09		"mitglied"		"deklarationspflichtig"	"deklariert"	"0"	"N"	"tief"	5204				"BVG"	"Zürich"	"Parlamentarische Gruppe"	"EinzelOrganisation,dezidierteLobby"	"nie"	"Sozialversicherungen"	"Soziale Sicherheit"	"SGK"
"Addor, Jean-Luc"	261	"NR"	"VS"	"SVP"	"V"	"SiK-NR, SPK-NR"	2015-11-30		"M"	1964-04-22	4154	3055	"fr"	"fr"				"vorstand"	"mitglied"	"deklarationspflichtig"	"nicht-deklariert"	"0"		"tief"	5257	"0"	2021	"Ehrenamtlich"	"Egerkinger Komitee - Initiativkomitee ""Ja zum Verhüllungsverbot"""	"Flaach"	"Verein"	"EinzelOrganisation,dezidierteLobby"	"nie"	"Religion"	"Staatspolitik/Staatswirtschaft"	"SPK"
"Addor, Jean-Luc"	261	"NR"	"VS"	"SVP"	"V"	"SiK-NR, SPK-NR"	2015-11-30		"M"	1964-04-22	4154	3055	"fr"	"fr"	"Präsident"			"vorstand"	"praesident"	"deklarationspflichtig"	"deklariert"	"0"		"tief"	5728	"0"	2021	"Ehrenamtlich"	"Für ein freiheitliches Waffenrecht"	"Bern 8"	"Parlamentarische Gruppe"	"EinzelOrganisation,dezidierteLobby"	"nie"	"Militär"	"Sicherheit"	"SiK"
"Addor, Jean-Luc"	261	"NR"	"VS"	"SVP"	"V"	"SiK-NR, SPK-NR"	2015-11-30		"M"	1964-04-22	4154	3055	"fr"	"fr"				"vorstand"	"praesident"	"deklarationspflichtig"	"deklariert"	"0"	"N"	"tief"	5788	"0"	2021	"Ehrenamtlich"	"Stiftung COURAGE"	"Bern"	"Stiftung"	"EinzelOrganisation"	"nie"	"Militär"	"Sicherheit"	"SiK"
"Addor, Jean-Luc"	261	"NR"	"VS"	"SVP"	"V"	"SiK-NR, SPK-NR"	2015-11-30		"M"	1964-04-22	4154	3055	"fr"	"fr"				"vorstand"	"vizepraesident"	"deklarationspflichtig"	"deklariert"	"0"		"tief"	5789	"0"	2021	"Ehrenamtlich"	"Société de tir pratique Valais"		"Verein"	"EinzelOrganisation"	"nie"	"Breitensport"	"Sport"	"WBK"
"Addor, Jean-Luc"	261	"NR"	"VS"	"SVP"	"V"	"SiK-NR, SPK-NR"	2015-11-30		"M"	1964-04-22	4154	3055	"fr"	"fr"	"Mitglied"	2020-06-09		"mitglied"		"deklarationspflichtig"	"deklariert"	"0"	"N"	"tief"	7596				"Bürgergemeinden und Korporationen"	"Bern"	"Parlamentarische Gruppe"	"EinzelOrganisation,dezidierteLobby"	"nie"	"Gemeinden"	"Staatspolitik/Staatswirtschaft"	"SPK"
"Addor, Jean-Luc"	261	"NR"	"VS"	"SVP"	"V"	"SiK-NR, SPK-NR"	2015-11-30		"M"	1964-04-22	4154	3055	"fr"	"fr"				"mitglied"		"nicht deklarationspflicht"	"nicht-deklariert"	"0"		"tief"	7889	-1	2021	"Bezahlendes Mitglied"	"Notre Armée de Milice, Administration et rédaction"	"Yverdon-les-Bains"	"Verein"	"EinzelOrganisation"	"nie"	"Militär"	"Sicherheit"	"SiK"
"Addor, Jean-Luc"	261	"NR"	"VS"	"SVP"	"V"	"SiK-NR, SPK-NR"	2015-11-30		"M"	1964-04-22	4154	3055	"fr"	"fr"	"Mitglied"	2021-11-01		"mitglied"		"deklarationspflichtig"	"deklariert"	"0"	"N"	"tief"	8240											
"Aebi, Andreas"	39	"NR"	"BE"	"SVP"	"V"	"APK-NR, Bü-NR, Bü-VBV-V, OSZE, VD"	2007-12-03		"M"	1958-11-26	3867	2670	"de"	"de"	"Mitglied Landwirtschafskammer"			"taetig"		"deklarationspflichtig"	"nicht-deklariert"	"0"	"N"	"mittel"	47				"Schweizer Bauernverband (SBV)"	"Brugg AG"	"Verein"	"DachOrganisation,LeistungsErbringer,dezidierteLobby"	"immer"	"Landwirtschaft allgemein"	"Landwirtschaft"	"WAK"
"Aebi, Andreas"	39	"NR"	"BE"	"SVP"	"V"	"APK-NR, Bü-NR, Bü-VBV-V, OSZE, VD"	2007-12-03		"M"	1958-11-26	3867	2670	"de"	"de"				"vorstand"	"mitglied"	"deklarationspflichtig"	"nicht-deklariert"	"0"	"N"	"mittel"	182				"Hochspannung unter den Boden"	"Fribourg"	"Verein"	"EinzelOrganisation,LeistungsErbringer,dezidierteLobby"	"punktuell"	"Energie allgemein"	"Energie"	"UREK"
"Aebi, Andreas"	39	"NR"	"BE"	"SVP"	"V"	"APK-NR, Bü-NR, Bü-VBV-V, OSZE, VD"	2007-12-03		"M"	1958-11-26	3867	2670	"de"	"de"	"Mitglied"	2020-06-09		"mitglied"		"deklarationspflichtig"	"deklariert"	"0"	"N"	"tief"	637				"Biodiversität und Artenschutz"	"Zürich"	"Parlamentarische Gruppe"	"EinzelOrganisation,dezidierteLobby"	"punktuell"	"Umwelt & Natur"	"Umwelt"	"UREK"
"Aebi, Andreas"	39	"NR"	"BE"	"SVP"	"V"	"APK-NR, Bü-NR, Bü-VBV-V, OSZE, VD"	2007-12-03		"M"	1958-11-26	3867	2670	"de"	"de"	"Mitglied"	2020-06-09		"mitglied"		"deklarationspflichtig"	"deklariert"	"0"	"N"	"tief"	1278				"Auslandschweizer"	"Bern"	"Parlamentarische Gruppe"	"EinzelOrganisation,dezidierteLobby"	"nie"	"Staatspolitik allgemein"	"Staatspolitik/Staatswirtschaft"	"SPK"
"Aebi, Andreas"	39	"NR"	"BE"	"SVP"	"V"	"APK-NR, Bü-NR, Bü-VBV-V, OSZE, VD"	2007-12-03		"M"	1958-11-26	3867	2670	"de"	"de"	"Mitglied"	2020-06-09		"mitglied"		"deklarationspflichtig"	"deklariert"	"0"	"N"	"tief"	1622				"Tourismus PGT"	"Bern"	"Parlamentarische Gruppe"	"EinzelOrganisation,dezidierteLobby"	"nie"	"Tourismus/Gastronomie"	"Wirtschaft"	"WAK"
"Aebi, Andreas"	39	"NR"	"BE"	"SVP"	"V"	"APK-NR, Bü-NR, Bü-VBV-V, OSZE, VD"	2007-12-03		"M"	1958-11-26	3867	2670	"de"	"de"	"Mitglied"	2020-06-09		"mitglied"		"deklarationspflichtig"	"deklariert"	"0"	"N"	"tief"	1750				"Bundeshaus-Band"		"Parlamentarische Gruppe"	"EinzelOrganisation,dezidierteLobby"	"nie"	"Musik"	"Kultur"	"WBK"
"Aebi, Andreas"	39	"NR"	"BE"	"SVP"	"V"	"APK-NR, Bü-NR, Bü-VBV-V, OSZE, VD"	2007-12-03		"M"	1958-11-26	3867	2670	"de"	"de"	"Mitglied"	2020-06-09		"mitglied"		"deklarationspflichtig"	"deklariert"	"0"	"N"	"tief"	1751				"Sport"	"Ittigen"	"Parlamentarische Gruppe"	"EinzelOrganisation,dezidierteLobby"	"nie"	"Sport allgemein"	"Sport"	"WBK"
"Aebi, Andreas"	39	"NR"	"BE"	"SVP"	"V"	"APK-NR, Bü-NR, Bü-VBV-V, OSZE, VD"	2007-12-03		"M"	1958-11-26	3867	2670	"de"	"de"	"Mitglied"	2021-02-02		"mitglied"		"deklarationspflichtig"	"deklariert"	"0"	"N"	"tief"	1852				"Hauptstadtregion Schweiz"	"Bern"	"Parlamentarische Gruppe"	"EinzelOrganisation,dezidierteLobby"	"nie"	"Kantone/Regionen"	"Staatspolitik/Staatswirtschaft"	"SPK"
"Aebi, Andreas"	39	"NR"	"BE"	"SVP"	"V"	"APK-NR, Bü-NR, Bü-VBV-V, OSZE, VD"	2007-12-03		"M"	1958-11-26	3867	2670	"de"	"de"				"vorstand"	"praesident"	"deklarationspflichtig"	"deklariert"	"0"	"N"	"tief"	2711	1	2021		"Verein Eidgenössisches Schwing- und Älplerfest 2013 Burgdorf im Emmental in Liquidation"	"Burgdorf"	"Verein"	"EinzelOrganisation,LeistungsErbringer"	"nie"	"Sport allgemein"	"Sport"	"WBK"
"Aebi, Andreas"	39	"NR"	"BE"	"SVP"	"V"	"APK-NR, Bü-NR, Bü-VBV-V, OSZE, VD"	2007-12-03		"M"	1958-11-26	3867	2670	"de"	"de"	"Gesellschafter und Geschäftsführer"			"geschaeftsfuehrend"	"praesident"	"deklarationspflichtig"	"deklariert"	1	"N"	"tief"	2712	1	2021		"Aebi Reisen GmbH"	"Alchenstorf"	"GmbH"	"EinzelOrganisation"	"nie"	"Logistik/Transport"	"Verkehr"	"KVF"
"Aebi, Andreas"	39	"NR"	"BE"	"SVP"	"V"	"APK-NR, Bü-NR, Bü-VBV-V, OSZE, VD"	2007-12-03		"M"	1958-11-26	3867	2670	"de"	"de"				"vorstand"	"mitglied"	"deklarationspflichtig"	"nicht-deklariert"	"0"	"N"	"mittel"	2714	-1	2021	"Bezahlendes Mitglied"	"Schweizerische Volkspartei Kanton Bern"	"Bern"	"Verein"	"DachOrganisation,MitgliedsOrganisation,dezidierteLobby"	"punktuell"	"Parteien"	"Staatspolitik/Staatswirtschaft"	"SPK"
